"project_name","type","credits_issued"
"Planta Solar Fotovoltaica Cumayasa 4","Solar",NA
"Şenbük WPP Project","Wind","424931"
"Caruquia 9.76 MW hydroelectric project Pre-CDM VERs","Hydropower",NA
"Zincirli Wind Power Plant","Wind",NA
"GS1302 MicroScale Solar Photovoltaic Programme","Solar",NA
"Karadere Wind Power Plant","Wind","260873"
"India One Solar Thermal Power Project","Solar","1040"
"Kardemir Bozyaka Wind Power Plant","Wind","151257"
"Wind power project by GFL in Gudhepanchgani","Wind",NA
"Germiyan 9.6 MW WPP","Wind",NA
"Rehabilitation and Extension of Itete Hospital Hydropower Station","Hydropower",NA
"Yalova Wind Power Plant Project","Wind",NA
"Balabanli Wind Power Plant","Wind","784049"
"ARI-EN BUNDLED WPPs","Wind",NA
"Maslaktepe Wind Power Plant","Wind",NA
"Kizilcaterzi Wind Power Plant","Wind",NA
"GS1302 MicroScale Solar Photovoltaic Programme VPA1","Solar",NA
"Pitane WPP","Wind",NA
"Song Bung 6 Hydropower Project","Hydropower",NA
"Dak Pone Hydropower Project","Hydropower","450189"
"CERIT 90 MW WPP","Wind","262697"
"InfraVest Taiwan Wind Farms Bundled Project 2012","Wind","330657"
"Vietnam Small Hydro PoA","Hydropower",NA
"Song Bung 5 Hydropower Project","Hydropower",NA
"Nam Pong Hydropower Project","Hydropower",NA
"Aliaga Wind Power Project","Wind","106707"
"Geres Wind Power Project Turkey","Wind","614447"
"Betulia Hydroelectric project","Hydropower","43772"
"Edincik Wind Power Plant","Wind","791480"
"Marmara 11.5 MW Wind Power Project Turkey","Wind",NA
"KIYIKOY WPP","Wind",NA
"Caruquia 9.76 MW hydroelectric project","Hydropower",NA
"BAGARASI WPP","Wind","119491"
"ODEMIS WPP","Wind","250764"
"BARBAROS WIND POWER PLANT PROJECT 12 MW","Wind","50501"
"Biomass in Rajasthan - Electricity generation from mustard crop residues","Biomass","55438"
"Wind Power Plant No.1 - Binh Thuan 30MW","Wind","69068"
"Everbright Suqian & Huaining Bundled Solar PV Power Generation Project","Solar","7663"
"Everbright Zhenjiang Bundled Solar PV Power Generation Project","Solar","9680"
"Bac Lieu Province Wind Power Plant","Wind","701749"
"Incesu WPP","Wind",NA
"ES Energy Biomass Power Plant","Biomass",NA
"Karadag 16.25 MW WPP Turkey","Wind",NA
"PoA Solar PV in Pakistan","Solar",NA
"50MW Photovoltaic Power Project in Cholistan Islamic Republic of Pakistan","Solar",NA
"Buenos Aires Renewable Energy Project","Biomass","163503"
"YENIHISAR WPP","Wind",NA
"Project Ulubelu Unit 3 - 4 PT. Pertamina Geothermal Energy","Geothermal","963232"
"Project Lumut Balai Unit 1 - 2 PT. Pertamina Geothermal Energy","Geothermal",NA
"Project Lumut Balai Unit 3 - 4 PT. Pertamina Geothermal Energy","Geothermal",NA
"GS1354 Vietnam Small Hydro PoA - Thoong Cot 2 Hydropower Project","Hydropower","20455"
