"project_name","type","credits_issued"
"La La Hydropower Project Vietnam","Hydropower","7884"
"Zeytineli Wind Power Project Turkey","Wind",NA
"Esendurak HPP Turkey","Hydropower",NA
"China Resources Yanggao Changcheng 49.5MW Wind Power Project","Wind",NA
"Alabalik I-II HEPP","Hydropower",NA
"Canela Wind Farm Project","Wind",NA
"Balikesir Susurluk 45 MW Wind Farm Project","Wind","447368"
"Sirakonaklar HEPP","Hydropower",NA
"Maren Geothermal Power Plant","Geothermal",NA
"Merekler HEPP","Hydropower",NA
"Adasu Regulator Hydro Power Plant","Hydropower",NA
"Sekiyaka  HPP Small Scale Hydro Power Project Turkey","Hydropower",NA
"Cataloluk HEPP","Hydropower","82944"
"Yagmur HPP Small Scale Hydro Power Project Turkey","Hydropower",NA
"Demirciler HPP Small Scale Hydro Power Project","Hydropower",NA
"Kavakçali Small Scale Hydro Power Project Turkey","Hydropower",NA
"TUZKOY HEPP","Hydropower",NA
"DARCA HEPP","Hydropower","43160"
"7.05 MW KUTAY HEPP","Hydropower",NA
"8.6 MW RIZA HEPP","Hydropower",NA
"Posof III HEPP","Hydropower",NA
"Gelinkaya  HPP Small Scale Hydro Power Project Turkey","Hydropower",NA
"Sah Wind Power Plant","Wind","1707333"
"Canakkale WPP","Wind","339977"
"BUKOR II Hepp","Hydropower",NA
"Solar Lighting in Rural Areas PoA","Solar",NA
"Cakirlar Run-off-River Hydro Power Plant","Hydropower","95664"
"Solar Lighting in Rural Ethiopia - VPA 1","Solar","51159"
"Madranbaba 19.5 MW Wind Power Project Turkey","Wind",NA
"Yamac HEPP","Hydropower",NA
"Karasu 1 HPP 3.8 MWe Small Scale Run-of River Power Project Turkey","Hydropower",NA
"Karasu 4.2 HPP 9.6 MWe Small Scale Run-of River Power Project Turkey","Hydropower",NA
"Karasu 4.3-5 HPP 7.14 MWe Small Scale Run-of River Power Project Turkey","Hydropower",NA
"Miaoli 49.8MW Wind Farm Project","Wind","570190"
"Killik Wind Power Plant","Wind","257223"
"Kayaduzu Wind Power Plant Turkey","Wind","326782"
"VIZARA 8.9MW HYDROELECTRIC POWER PLANT","Hydropower",NA
"Los Hierros Hydroelectric Plant","Hydropower",NA
"Akres Wind Power ProjectTurkey","Wind","184770"
"Ayvacik 5.0 MW Wind Power Plant","Wind",NA
"Kapidag Wind Power Plant","Wind",NA
"Nam Hong Hydropower Project","Hydropower","84553"
"Sares 22.5 MW Wind Power Plant","Wind","353200"
"Mavi HEPP","Hydropower",NA
"Balikesir 142.5 MW Wind Power Plant Project","Wind","1629436"
"Kalecik Hydro Electric Power Plant","Hydropower",NA
"SUCATI Hydropower Project","Hydropower",NA
"7.25 MW wind energy project of Aruppukottai Sri Jayavilas Ltd","Wind","21704"
"BAESA Project","Hydropower","6726799"
"Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd","Biomass","47015"
"Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project","Wind","791783"
"Dogançay Weir and Hydroelectric Power Plant","Hydropower",NA
"Yamanli II Hydroelectric Power Plant","Hydropower",NA
"Karakus Hydropower Plant, Turkey","Hydropower",NA
"Yaprak-II Hydropower Plant, Turkey","Hydropower",NA
"Yaprak-I Hydropower Plant, Turkey","Hydropower",NA
"Bagasse based Co-generation Power Project at Khatauli","Biomass","92353"
"Umut-III Hydropower Plant, Turkey","Hydropower",NA
"Umut-II Hydropower Plant, Turkey","Hydropower",NA
"Umut-I Hydropower Plant, Turkey","Hydropower",NA
"Basak Hydropower Plant, Turkey","Hydropower",NA
"Yamanli III Hydoeletric Power Plant","Hydropower",NA
"CE TECHNOLOGY FUEL SWITCH FOR CLEANROOM GLOVE INDUSTRY PROJECT, TAIPING","Biomass",NA
"CEMEX USA: ALTERNATIVE FUELS AND BIOMASS PROJECT AT DEMOPOLIS CEMENT PLANT","Biomass",NA
"Wind power project in Tamil Nadu by SWPPL","Wind","312566"
"Niksar Hydroelectric Power Plant","Hydropower","917169"
"6 MW Rice Husk based cogeneration plant at Bhageshwari Papers Private Limited","Biomass","56282"
"Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited","Solar","235847"
"Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan","Wind","47157"
"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan","Wind","32638"
"Grid Connected Wind Power Project by M/s Giriraj Enterprises in Madhya Pradesh","Wind","155319"
"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan","Wind","58285"
"KVSSSKL Co-generation Power Plant at Satara District, Maharashtra","Biomass",NA
"Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited","Solar","80716"
"San Clemente Hydroelectric Power Plant","Hydropower","9244"
"San Pedro Hydropower Plant","Hydropower",NA
"RIMA Fuel Switch in Bocaiúva","Biomass","134736"
"Fuel Switch to Renewable Biomass for Thermal Use at Metrolina Greenhouses, Inc. Commercial Greenhouse Facility","Biomass","22012"
"Dak Psi 3 and 4 Hydropower Project","Hydropower","599719"
"Xundian Jinfeng 12.6MW Hydropower Project","Hydropower","295619"
"Hubei Dangyang 25MW Biomass Power Project","Biomass","190748"
"Inner Mongolia Wutaohai South Phase II Wind Power Project","Wind","324840"
"Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project","Wind","471336"
"Guazhou Beidaqiao No.1 Wind Farm Project in Gansu Province, China","Wind","2474798"
"Chile: Hornitos Hydroelectric Project","Hydropower","66318"
"AES Saurashtra Windfarms","Wind","573751"
"Wood waste-to-energy project at Sawmill-25 (Arkhangelsk)","Biomass","27652"
"Inner Mongolia Hangjin Yihewusu Wind Power Project","Wind","282087"
"OAxaca IV Wind Energy Project","Wind","590796"
"Oaxaca III Wind Energy Project","Wind","466501"
"Oaxaca II Wind Energy Project","Wind","428929"
"Ziqiang 18MW Hydropower Project in Guizhou Province China","Hydropower","62780"
"Wind Power Project at Rajkot, Gujarat","Wind","397790"
"Heilongjiang Bianfushan Wind Power Project","Wind","218613"
"Maoshaping Hydro Power Project","Hydropower","20487"
"Cermikler 25.00 MW Hydrolectric Power Plant Project","Hydropower","188659"
"Heilongjiang Wangyunfeng Wind Power Project","Wind","286952"
"MRO Grouped Wind Projects Phase II","Wind","17561"
"CECIC Zhangbei Gaojialiang Wind farm Project.","Wind","242558"
"Guangxi Qiaogong Hydropower Project","Hydropower",NA
"Clean Energy Project in the State of Tamil Nadu","Wind","28216"
"Cobanli 19.03 MW Hydroelectric Power Plant","Hydropower",NA
"Taohua 9MW Hydro Power Project in Guizhou Province, China","Hydropower","28975"
"Kentilux Wind Farm","Wind","25728"
"FOUM EL OUED WIND FARM PROJECT","Wind",NA
"Clean energy generation from wind energy in the state of Rajasthan","Wind","62536"
"Bundle Wind Energy Project in Indian States - EnKing International 2005","Wind",NA
"HYDROELECTRIC PROJECT ITUANGO","Hydropower",NA
"Damlapinar Hydroelectric Power Plant Project","Hydropower","312236"
"Hydroelectric Project El Edén","Hydropower","73110"
"8 MW bundled wind power project, proposed by Ghodawat Industries (India) Pvt. Ltd.","Wind","66698"
"Amatitlan Geothermal Project","Geothermal","104344"
"Buenos Aires Ceramic Fuel Switching Project","Biomass","67017"
"Cepco Wind Power Project in Rajasthan","Wind","36721"
"Vaayu India Wind Power Project in Andhra Pradesh","Wind","18998"
"Clean Energy generation from wind energy in the state of Andhra Pradesh.","Wind","12096"
"Kohinoor Wind Power Project in Rajasthan","Wind","21349"
"Cerro de Hula Wind Project","Wind","206105"
"Guangdong Zhanjiang Yangqian 49.5MW Wind Power Project","Wind","47532"
"Bundled Wind Power Project in Jamnagar, Gujarat","Wind","30500"
"Clean Energy Generation in Gujarat, India","Wind","188634"
"Lican Hydroelectric Plant","Hydropower","48091"
"Guizhou Tongzihe Yangjiayuan Hydropower Project","Hydropower",NA
"4.2 MW Wind Power Project by National Enterprises at Tamil Nadu, India","Wind","30981"
"8.25 MW Bundled Wind Power Project","Wind","60801"
"Solar PV power project by Roha Dyechem Pvt.  Ltd. (EKIESL.CDM.Aug-11-02)","Solar","292522"
"SENA  HYDROELECTRIC POWER PLANT","Hydropower","81341"
"SOLAR POWER PROJECT IN GUJARAT, INDIA BY WAA SOLAR LIMITED","Solar","8234"
"Solar Power Project by Sai Sudhir Energy Limited","Solar",NA
"Renewable Energy Wind Power Project in Rajasthan","Wind","94113"
"Wind Energy Project in Gujarat","Wind","78608"
"Anhui Suzhou 2X12.5 MW Biomass Power Generation Project","Biomass","264625"
"Qian'an Wangxin Caizi Town Windfarm Project Phase I","Wind","151259"
"Mani 14 MW Small Hydropower Project","Hydropower","366903"
"SANIBEY DAM AND HYDROELECTRIC POWER PLANT","Hydropower","4596206"
"BALKODU 1 HYDRO POWER PLANT","Hydropower",NA
"Wind Power Project in Tinwari, Rajasthan","Wind","28095"
"KALE HYDROELECTRIC POWER PLANT","Hydropower",NA
"OSMANCIK HYDROELECTRIC POWER PLANT","Hydropower",NA
"Sogukpinar Regulator and Hydroelectric Power Plant Project","Hydropower",NA
"Koprubasi 14.66 MW HEPP","Hydropower",NA
"23.80 MW KIY Regulator and Hydroelectric Power Plant Project","Hydropower",NA
"Mithapur Solar Power Project","Solar","108159"
"Kalealti 15 MW Hydropower Plant, Turkey","Hydropower","297373"
"10.5 MW wind mill project of ICF in the state of Tamil Nadu","Wind",NA
"PER 1 AND PER 2 WIND POWER PLANTS (UMBRELLA PROJECT)","Wind","189017"
"SONAWADE SMALL HYDRO POWER PROJECT","Hydropower","155647"
"RFC Grouped Wind Projects Phase II","Wind","5110"
"Yunnan Nameguo, Faguo Hydropower stations","Hydropower","153561"
"Vaayu India Wind Power Project in Jaisalmer, Rajasthan","Wind","85813"
"Anhui Guzhen Biomass Generation Project","Biomass","720192"
"50.4 MW Wind Power Project by GSFC Ltd.","Wind",NA
"33 MW Wind Power Project of GSFC Ltd","Wind",NA
"Jilin Liaoyuan 50MW Level Biomass Cogeneration Project","Biomass","1137248"
"Bucakkisla HPP Run-Of-River Hydro Project","Hydropower","438602"
"Hangjin Yihewusu Phase I 49.5MW Wind Power Project","Wind","692208"
"3 MW bundled wind Power Project in Tamil Nadu","Wind","10859"
"9 MW WIND POWER PROJECT OF KHATAU NARBHERAM & CO. IN TAMIL NADU, INDIA","Wind",NA
"13.65 MW Wind Power Project of Khatau Narbheram & Co. in Tamil Nadu, India.","Wind",NA
"Bundled Wind Energy Project in Indian States :- EnKing International 2007","Wind",NA
"52.50 MW Wind energy farm at Mokla Rajasthan by HZL","Wind","417675"
"27.3 MW Wind energy farm at Mokla Rajasthan by HZL","Wind","194745"
"25.5 MW Wind Energy Farm at Nandurbar Maharashtra by HZL","Wind","271222"
"21 MW Wind energy farm at Palladam, TamilNadu by HZL","Wind","173385"
"9 MW Wind Energy Farm at Jodhpur Rajasthan by HZL","Wind","78971"
"15 MW Wind energy farm at Gopalpura, Karnataka by HZL","Wind","129185"
"7.2 MW Wind Project at Chitradurga, Karnataka","Wind","32594"
"Henan Xinxiang 24MW Biomass based Cogeneration Project","Biomass","917897"
"Ningxia Angli Lingwu Photovoltaic Grid Connected Power Plant Project","Solar","432853"
"Biomass Based Cogeneration Project by Best Foods Limited at Haryana, India","Biomass",NA
"Luofan 24MW Hydropower Project in Guizhou Province China","Hydropower","95624"
"Punta Colorada Wind Farm Project Phase I","Wind",NA
"Wind based power project in Maharashtra by Siddhayu Ayurvedic Research Foundation Pvt. Ltd","Wind",NA
"Arca Hydro Electricity Power Plant","Hydropower","255174"
"14.70 MW Wind Power Project at Jath, Maharashtra","Wind","9421"
"Kiran Energy Solar PV Project","Solar",NA
"Saraff Energy EFB to electricity project","Biomass",NA
"Ethanol & Sugar Project Suriname","Biomass",NA
"14.7 MW Bundled Wind Power Project in the state of Maharashtra and Rajasthan, India.","Wind","41444"
"Wind Power Project in Tirupur District","Wind","831607"
"Wind Power Project by NACL in Tamil Nadu","Wind",NA
"Shri Bajrang RE Project","Solar","19912"
"KIRAN Hydro Power Plant","Hydropower",NA
"Biomass based steam generation project by Indapur Dairy and Milk Products Limited","Biomass",NA
"San Andres Hydroelectric project","Hydropower",NA
"Akcay 28.78 MW, Hydroelectric Power Plant Project (HEPP), Turkey","Hydropower","263581"
"Jilin Da'an Dagangzi Wind Power Project Phase V","Wind",NA
"Jilin Da' an Dagangzi Wind Power Project Phase IV","Wind",NA
"Gansu Tianrun Liuyuan 1st Stage 49.5MW Wind Park Project","Wind",NA
"Huangyutang Hydro Power Project in Guizhou Province","Hydropower","66421"
"CGN Minqin Hongshagang Xianshuijing Wind Power Project","Wind",NA
"CGN Inner Mongolia Zhurihe Phase II Wind Farm Project","Wind","447340"
"CGN Inner Mongolia Zhurihe Phase I Wind Farm Project","Wind","359887"
"Xinjiang Jimunai CGN Phase I Wind Farm Project","Wind","402109"
"Hebei Chengde Weichang Wuxiangliang Wind Power Project","Wind","243216"
"Suman Sarwari Hydro Electric Project.","Hydropower","137784"
"Viñales biomass power plant","Biomass","602895"
"Shandong Yishui Tangwangshan Wind Farm Project","Wind","307201"
"Shandong Wendeng Zhangjiachan Wind Farm Project","Wind","802659"
"Shandong Taipingshan Wind Farm Project","Wind","846433"
"Changtan Hydro Power Project in Guizhou Province","Hydropower","21813"
"Wind power project in Gujarat","Wind","418263"
"Jamanwada Wind Power Project in Gujarat","Wind","630643"
"Murat Hydroelectric Power Plant","Hydropower","7667"
"Kaladonger Wind Power Project in Rajasthan","Wind","1035019"
"Wind Power Project in Rajasthan","Wind","514123"
"Gansu Yongdeng Longlin Hydro Power Project","Hydropower","314733"
"Chakala Wind Power Project in Maharashtra","Wind","586701"
"Pembelik Hydro Electricity Power Plant","Hydropower","1069278"
"Bugoye 13.0 MW Run-of-River Hydropower Project","Hydropower","332522"
"Aydin Salavatli Dora-1 Geothermal Power Plant","Geothermal","277758"
"Guohua Wulate Zhongqi Chuanjing Phase II Wind Farm Project","Wind","940858"
"Suzlon 8.40 MW Wind Power Project","Wind","94569"
"Guohua Wulate Zhongqi Phase I 49.5 MW Wind farm Project","Wind","890139"
"Tatar Hydro Electricity Power Plant","Hydropower","1222788"
"Montanitas Hydroelectric Project","Hydropower","257975"
"Sinner Wind Power Project in Maharashtra","Wind","166902"
"Nam Chim Hydro Power Project","Hydropower","54061"
"Wind Power Project at Bhachau by Powerica Limited","Wind","135245"
"Saihanba North 45.05 MW Windfarm Project","Wind","1598"
"Green Energy Project at Kutch by Powerica Limited","Wind","455497"
"Green Energy Project at Gujarat by Powerica Limited","Solar","584281"
"10 MWp Grid Interactive Solar Power Project in Gujarat Solar Park, India","Solar",NA
"BIOMASS BASED COGENERATION PROJECT BY SSA INTERNATIONAL LIMITED AT HARYANA, INDIA","Biomass",NA
"Vajrakarur Wind Power Project in Andhra Pradesh","Wind","756766"
"Electricity Generation through Wind Power by SRHHL","Wind","59928"
"Xinjiang Bazhou Haermodun 15MW Hydropower Project","Hydropower","81860"
"17.45 MW Bundled Wind Power Project in India","Wind","163466"
"Luoning Biomass Cogeneration Project","Biomass","162732"
"Eglence I-II Hydroelectric Power Plant","Hydropower","706792"
"Anhui Zhongxing Shouchuang Energy-Saving Service Co. Ltd. Biomass Boiler Retrofitting Project","Biomass","36504"
"Lebu III Wind Farm Project","Wind",NA
"Fronteira and Novicel Ceramics Fuel Switching Project","Biomass","43527"
"Longwangtan 15MW Hydro Power Project in Guizhou Province","Hydropower","85872"
"Solar Photovoltaic Power Project at Jalgaon, Maharashtra","Solar","3620"
"Mordogan Wind Power Project, Turkey","Wind","127874"
"Yaylaköy Wind Power Project, Turkey","Wind","122458"
"Hydroelectric Project Cantayus","Hydropower",NA
"25 MW Solar PV Project in Gujarat","Solar","239325"
"YUCE Hydroelectric Power Plant","Hydropower",NA
"Gansu Yumen Sanshilijingzi Wind Power Project","Wind","149370"
"Veer (NLBC) Small Hydro Power Project","Hydropower","88170"
"Inner Mongolia Helin Shimenzi 49.5MW Wind Power Project","Wind","370074"
"CGN Aletai Qinghe Phase I 20MWp Grid-connected PV Power Plant Project","Solar","216000"
"CGN Hami Phase I 20MWp Grid-connected PV Power Plant Project","Solar","254709"
"CGN Kashi Yingjisha Phase I 20MWp Grid-connected PV Power Plant Project","Solar","192440"
"CGN Dunhuang 10MW Grid-connected Solar PV Power Generation Project","Solar","159356"
"Yelisirur wind power project, India","Wind","336748"
"5.35 MW Wind Power Project by GeeCee Ventures Ltd","Wind",NA
"Wind Power Project of CLP Wind Farms (India) Private Limited","Wind","2657795"
"Saint Nikola Wind Farm","Wind","2085449"
"Chacayes Hydroelectric Project, Chile","Hydropower","167721"
"Zé Tunin Small Hydropower Plant Project","Hydropower",NA
"Wind power project in Tamil Nadu","Wind",NA
"Yunnan Longjiang 240MW Hydropower Project, in P.R. China","Hydropower","448588"
"Kandil Dam and Hydroelectric Power Plant","Hydropower",NA
"Ishasha 6.6 MW Small Hydropower Project","Hydropower","80138"
"Kavsakbendi Hydroelectric Power Plant","Hydropower",NA
"Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-I","Wind",NA
"Talas de Maciel II Wind Farm","Wind","502296"
"10 MW biomass based power project of Ind Power Limited.","Biomass","35219"
"Biomass Based Power Project by Bahl Paper Mills Ltd at Kashipur","Biomass",NA
"Hydro Power Project in backward district of Andhra Pradesh, India","Hydropower","1528208"
"14.4 MW Grid Connected Wind Power Project of Vaibhavlaxmi Clean Energy in Madhya Pradesh and Tamil Nadu, India","Wind","20492"
"Electric Power Generation from Renewable Sources - Barra da Paciência, Ninho da Águia, Corrente Grande, Paiol, São Gonçalo and Várzea Alegre Small Hydropower Plants","Hydropower","106863"
"Biomass Based Steam Generation Plant","Biomass",NA
"Tuana 7.66 MW Hydroelectric Power Plant","Hydropower",NA
"Eren 37 MW Hydroelectric Power Plant","Hydropower","272541"
"Biomass Based Steam Generation Project by Industrial Progressive India Limited","Biomass",NA
"Fuel switch from NG to biomass in Godrej Industries Limited, Valia","Biomass",NA
"Arrozal, GGP and Sul America Ceramics Fuel Switching Project","Biomass","123808"
"Papart Large Scale Run-of-River Hydro Powerplant Project","Hydropower","303360"
"Guohua Rongcheng Phase II Wind Farm Project","Wind","714746"
"Thermal Energy Generation Using Biomass by Kwality Dairy (India) Limited (KDIL)","Biomass",NA
"Biomass based Renewable Energy Generation at Karnal","Biomass","60857"
"Guohua Rongcheng Phase III Wind Farm Project","Wind","152804"
"CIty and County of Honolulu Solid Waste to Energy Facility - 3RD Boiler Expansion","Biomass",NA
"Biomass Based Steam Generation Plant Farmgate Agro Milch","Biomass",NA
"Parque Eolico Maldonado","Solar","729418"
"Clean Energy Project in India","Wind",NA
"Sol Nascente Ceramic Fuel Switching Project","Biomass","78171"
"Guohua Tongliao Kezuo Zhongqi Phase I 49.5 MW Wind Farm Project","Wind","881571"
"Inner Mongolia Tongliao Wind Farm Project Phase III","Wind",NA
"Inner Mongolia Tongliao Wind Farm Project Phase IV","Wind",NA
"Guohua Tongliao Kezuo Zhongqi Phase II 49.5 MW Wind Farm Project","Wind",NA
"Biomass based cogeneration plant at Godrej Agrovet Ltd. Chintampalli","Biomass","304082"
"Biomass based renewable energy generation at Godrej Agrovet Ltd. Kanumolu","Biomass",NA
"Small-Scale Hydropower Project Sahanivotry In Madagascar.","Hydropower","271100"
"9 MW Neria Hyrdroelectric project, Karnataka, India","Hydropower","129963"
"Sichuan Baoxing Dongfeng Hydropower Project","Hydropower",NA
"Alto Maipo Hydroelectric Project","Hydropower",NA
"Buyukduz Hydroelectric Power Plant, Turkey","Hydropower","364219"
"Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-2","Solar",NA
"Lighting up Africa","Solar",NA
"15 MW grid-connected wind power project by MMTC in Karnataka","Wind","173466"
"Midilli Hydroelectric Power Plant","Hydropower","263175"
"Torlar 14.834 MWe Hydroelectric power plant","Hydropower","123393"
"Dagbasi Hydroelectric Power Plant","Hydropower",NA
"Yunnan Tengzhong New Energy Technology Co. Ltd. Biomass Heating System Retrofitting and Biomass Collection Station Project","Biomass","1723"
"Bundled Biomass Project in India","Biomass",NA
"Oylat Hydroelectric Power Plant","Hydropower",NA
"3.9 MW Bundled renewable energy project in Tamil Nadu, India","Solar","13869"
"8.40MW Bundled Wind Power Project in Rajasthan by Friends Salt Works & Allied Ind. & Gautam Freight Pvt. Ltd.","Wind",NA
"Murat HEPP","Hydropower","656937"
"Boyabat Hydroelectric Power Plant","Hydropower","2178523"
"49.5 MW Wind Power Project by FFCEL in Pakistan","Wind","659828"
"KSAIL Bagasse Power Project","Biomass","7504"
"Las Pizarras Project","Solar","441666"
"Peralta I Wind Power Project","Wind","461137"
"Shangyi Manjing Windfarm Project","Wind","184738"
"Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA V1A)","Wind","802037"
"Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA-V2)","Wind","4145050"
"4.2 MW renewable energy based power generation project in Andhra Pradesh by Hi- Tech","Solar","46035"
"Jiangsu Dongtai Phase II Wind Power Project","Wind","1798024"
"Tungabhadra Wind Power Project.","Wind","59275"
"Shandan Dongle Beitan 50MW Solar Power Generation Project","Solar","367668"
"Doosan Heavy Industrys photovoltaic power plant VCS project","Solar",NA
"Hydroelectric Project PCH Luzma","Hydropower","265005"
"Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-3","Wind",NA
"2 x 2MW wind project by Bansal Windmills Pvt. Ltd.","Wind",NA
"Urla Wind Power Plant","Wind","154886"
"Qixia Tangshanpeng Windfarm Project","Wind","64821"
"Saf I Hepp","Hydropower","38282"
"Akinci Hydroelectric Power Plant","Hydropower","500392"
"Yaprak Weir and HEPP","Hydropower","35559"
"Recast Energy Louisville Fuel Switch from Coal to Biomass for Thermal Energy","Biomass","448690"
"Biomass Based Co generation Project in Paper Mill at Village Rupana, Punjab, India","Biomass","112367"
"Biomass based cogeneration project at Bihar, India","Biomass",NA
"6 MW RPPL biomass based power plant","Biomass","37479"
"Yagmur Hydroelectric Power Plant","Hydropower",NA
"Xinjiang Xiaocaohu Wind Power Project","Wind","12991"
"Solar Power Project in Gujarat, India","Solar",NA
"Diyoban 19.04 MW Hydroelectric Power Plant Project","Hydropower","32052"
"Vaspet-II and Vaspet-III Wind Power Project, Maharashtra","Wind","803146"
"Jingyuan County 100MW Solar Power Generation Project","Solar","819471"
"Yalnizardiç Dam and Berat HEPP","Hydropower","101959"
"Babilonia Hydroelectric Project","Hydropower","118866"
"Solar PV power project at Patan,India","Solar",NA
"Solar PV power project at Bikaner,India","Solar",NA
"Alakopru Hydro Power Plant","Hydropower",NA
"Grid Interactive Solar Photovoltaic Power Project in Gujarat","Solar","370472"
"Umurlu GeoThermal Power Plant","Geothermal","226463"
"Aura Solar I Solar Project in Baja California Sur, Mexico","Solar","28298"
"Renewable Energy Project by LNB Group","Solar","292099"
"Wind Power Project by Rajasthan Gum Private Limited (EKI.CDM.July-11-01)","Wind","117405"
"Chamelecón 280 Hydroelectric project","Hydropower",NA
"Biomass Based Cogeneration Project By M/s SNS Starch Limited at Telengana, India","Biomass",NA
"4.5MW Wind Power Project by Hira Group","Wind",NA
"Teesta Low Dam Project, Stage-IV","Hydropower","805717"
"Uri II Hydroelectric Project","Hydropower","1305089"
"Parbati Hydroelectric Project Stage III","Hydropower","630977"
"Parbati Hydroelectric Project (Stage-II)","Hydropower",NA
"Adiguzel II Hydroelectric Power Plant","Hydropower","166012"
"Bandeira and Capelli Ceramics Fuel Switching Project","Biomass","336522"
"Renewable Solar Project, India","Solar",NA
"Biomass Based Co-generation project by DRRK Foods, India","Biomass",NA
"Biomass Briquette Usage in Steam Boiler at GIDC, Jhagadia Project","Biomass",NA
"LinCang Yun County, XinTangFang Hydropower Station Project","Hydropower",NA
"Yunnan Leiyingshan Wind Power Project - CER Conversion","Wind","37041"
"Alaçati Wind Power Project, Turkey","Wind","132790"
"Germiyan Wind Power Project, Turkey","Wind","103546"
"Urla Wind Power Project, Turkey","Wind","122851"
"Capacity Upgrade of Gunung Salak Geothermal Power Plant Project, Indonesia","Geothermal","1499246"
"Bundled clean energy project in jamnagar, Gujarat","Solar","168396"
"Grid connected clean energy project in Jamnagar, Gujarat","Solar","21955"
"Three Gorges New Energy Jiuquan Co., Ltd Guazhou 100MW Solar Power Project","Solar","763119"
"Putian Shijing Wind Farm Project","Wind","197327"
"199.70 MW Wind Project in Maharashtra by BWDPL","Wind","2764745"
"Putian Shicheng Wind Farm Project","Wind","262224"
"Cuyamel Hydroelectric Project - CER Conversion","Hydropower","4042"
"Enercon Bundled Wind power projects (2004 Policy) in Rajasthan","Wind","64555"
"Koblitz Biomass Power Plant - CER Conversion","Biomass","7616"
"Yeong Yang 61.5MW Wind Farm Project - CER Conversion","Wind","889"
"1 MW biomass gasifier based power generation project by Chanderpur Renewal Power Co. Pvt. Ltd.","Biomass",NA
"Gansu Ganzhou District Nantan Phase I 50MWp Solar Photovoltaic Power Project","Solar","506791"
"Koroglu Hydroelectric Power Plant","Hydropower",NA
"Pico Hydro-Electricity Dissemination programme for Rural Electrification","Hydropower",NA
"Gokgedik 24.882 MWm / 24.266 MWe Runoff river HEPP, Turkey","Hydropower","187254"
"Pôr do Sol Ceramic Fuel Switching Project","Biomass","21688"
"Artvin Hydroelectric Power Plant","Hydropower",NA
"Grouped Connect Solar PV Power Generation Project in China","Solar","1265672"
"Alkumru Hydroelectric Power Plant","Hydropower","4027334"
"Bundled Wind Power Project in Rajasthan by Orange Renewable Power Private Limited","Wind","720084"
"Wind Energy Project in Maharashtra by M/s Shah Promoters & Developers","Wind","19180"
"Bhud Wind Power Project, Maharashtra","Wind","59096"
"9.75 MW WIND POWER PROJECT AT CHITRADURGA, KARNATAKA, INDIA BY ESWARI GROUP.","Wind","62838"
"Welturi I Wind Power Project in Maharashtra","Wind","72644"
"Jamb Wind Power Project in Maharashtra","Wind","66833"
"Wind Power Project at Chikodi, Karnataka","Wind","48865"
"Hydroelectric Project MULATOS II","Hydropower","39577"
"Guodian Xinjiang Alashankou Phase II Wind Power Project - CER Conversion","Wind","106997"
"Wind Energy Project in Dewas, Madhya Pradesh (India)","Wind","52348"
"Wind Power Project of CLP Wind Farms (India) Private Limited at Jath","Wind","833041"
"Hebei Kangbao Wolongtushan 30 MW Wind Farm Project","Wind","294332"
"Wind power project in Maharashtra, India - Andhra Lake Phase - I","Wind","1060297"
"Wind power project in Maharashtra, India - Andhra Lake Phase - II","Wind","1023521"
"Wind Energy Project in Harapanahalli, Karnataka","Wind","1027071"
"La Ferme - Bambous solar photovoltaic power plant","Solar","180599"
"Grouped Hydro Power Project near Shanag Village in District Kullu of Himachal Pradesh, India","Hydropower",NA
"Chorokhi Hydro Power Plant Project","Hydropower","442368"
"10.9 MW Bundled Solar Power Project","Solar","33221"
"CECIC Urumqi Tuoli Phase I Wind Farm Project - CER Conversion","Wind","86983"
"Rongcheng Dongchudao Wind Farm","Wind","37764"
"São Domingos II Hydroelectric Project","Hydropower",NA
"Astidey - Talas del Maciel I","Wind",NA
"Tsiazompaniry Hydropower Project in Madagascar","Hydropower",NA
"Selco Clean Energy Products Grouped Project","Solar","65471"
"VCS Grouped Project for Renewable Power Generation by Essel Mining and Industries Limited","Solar","1512305"
"Toros Hydroelectric Power Plant","Hydropower","708702"
"Inner Mongolia Wudaogou 50.25MW Wind Power Project","Wind","299257"
"Reis Enerji Grouped HEPP Project","Hydropower","65074"
"Xinjiang Alashankou Phase II Wind Power Project - CER Conversion","Wind","104180"
"Bujagali Hydropower Project - CER Conversion","Hydropower","635939"
"Cirakdami Hydro Electricity Power Plant","Hydropower","373493"
