"project_name","scope","credits_issued"
"San Juan National Forest Carbon Demonstration Project (II)","Reforestation",NA
"Wabashco Clean Sweep 2","Supply Chain","88044"
"Finite Carbon - The Forestland Group CT Lakes","Reforestation","2105998"
"Brush Creek","Reforestation","128377"
"Blue Source- Goodman Improved Forest Management Project","Reforestation","847890"
"2014-P5","Supply Chain",NA
"Improvements in Vehicle Efficiency for Marten Transport","Supply Chain","207509"
"Emission Reductions in California Rice Management Systems","Supply Chain","202"
"2014-P4","Supply Chain","71825"
"Improvements in Vehicle Efficiency for Crete Carrier Corp","Supply Chain","267128"
"RR ACR 2014","Supply Chain","315794"
"Finite Carbon - Weyerhaeuser Company IFM 1","Reforestation",NA
"Huron Mountain Club Forest Carbon Project","Reforestation","1234755"
"White Mountain Apache Tribe Forest Carbon Project","Reforestation","4330232"
"UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Reforestation","1387888"
"EOS ACR 213","Supply Chain","127664"
"EOS ACR 214","Supply Chain","145580"
"Wabashco Clean Sweep 3","Supply Chain","112378"
"Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Reforestation","160901"
"Transformer Oil Reclamation Project","Supply Chain","378561"
"SANTOS ENERGIA WIND POWER COMPLEX: SANTO ANTÔNIO DE PÁDUA, SÃO CRISTÓVÃO AND SÃO JORGE","Renewables","468053"
"Wabashco Clean Sweep 4","Supply Chain","110003"
"Marshall County VAM Abatement Project","Supply Chain","1660307"
"RR ACR 2014 756","Supply Chain",NA
"RR ACR 2014 758","Supply Chain",NA
"RR ACR 2014 768","Supply Chain",NA
"Emission Reductions in Midsouth Rice Management Systems","Supply Chain","395"
"The Dry Creek Dairy Biofactory Project","Supply Chain","298204"
"Double A Dairy","Supply Chain","294783"
"Alliance Dairy","Supply Chain","84219"
"Synergy Biogas, LLC","Supply Chain","48409"
"Green Meadow Farm","Supply Chain","19252"
"Blue Source - Hawthorne Ten Mile Watershed Improved Forest Management Project","Reforestation",NA
"Willet Dairy","Supply Chain","114740"
"Edaleen Cow Power, LLC","Supply Chain","42727"
"EOS ACR 240","Supply Chain","129700"
"Gardeau Crest Dairy","Supply Chain","91842"
"Cambria 33 Abandoned Mine Methane Capture and Use Project","Supply Chain","221141"
"Elk Creek Coal Mine Methane Destruction & Utilization Project","Supply Chain","266263"
"Wabashco Clean Sweep 5","Supply Chain","57589"
"Storrie Fire Reforestation Compliance Project","Reforestation",NA
"Devil Fire Reforestation Compliance Project","Reforestation",NA
"Finite Carbon - The Forestland Group Chateaugay Woodlands IFM","Reforestation","677605"
"Cumberland Forest Highlands IFM","Reforestation","3069391"
"Finite Carbon - Lyme Wyoming IFM","Reforestation","4901600"
"Clear Heart","Reforestation",NA
"Glasscock Island","Reforestation","347614"
"EOS ACR 252","Supply Chain","140736"
"EOS ACR 253","Supply Chain","135017"
"Wabashco Clean Sweep 6","Supply Chain","39036"
"Finite Carbon - Colville IFM","Reforestation","12690619"
"Finite Carbon - Tennessee River Gorge Trust IFM","Reforestation","344849"
"Finite Carbon - Cook's Branch Conservancy IFM","Reforestation","195321"
"EOS ARB ODS 2013-1","Supply Chain",NA
"Homestead Green Energy","Supply Chain","76781"
"Warm Springs Phase I","Reforestation","2275340"
"Replacement of SF6 as a Cover Gas at US Magnesium","Supply Chain","152040"
"Bewley Ranches","Reforestation","716403"
"Truck Stop Electrification, Washington","Supply Chain","1657"
"Truck Stop Electrification, New York","Supply Chain","240"
"Green Assets - Lukens Avoided Conversion Project","Reforestation","304968"
"Green Assets - Milbury Avoided Conversion Project","Reforestation","1045478"
"Blue Source - Powellton Improved Forest Management Project","Reforestation","1882452"
"Green Assets - HMWCF-I Avoided Conversion Project","Reforestation","7582221"
"Green Assets - HMWCF-II Avoided Conversion Project","Reforestation","1597684"
"Green Assets - HMWCF-III Avoided Conversion Project","Reforestation",NA
"EOS ACR 271","Supply Chain","124882"
"Bear Creek Watershed Forest Carbon Project","Reforestation","375650"
"Green Diamond Resource Company Klamath East IFM","Reforestation","937784"
"Green Diamond Resource Company Klamath West IFM","Reforestation","844726"
"Wabashco Clean Sweep 7","Supply Chain","116836"
"Blue Source - Allegheny Improved Forest Management Project","Reforestation","1990278"
"Blue Source – Boone Forestlands Improved Forest Management Project","Reforestation",NA
"Blue Source – Elk Forest Improved Forest Management Project","Reforestation",NA
"Cumberland Forest - Lonesome Pine Improved Forest Management Project","Reforestation","612616"
"Blue Source - Marmet Improved Forest Management Project","Reforestation","1137446"
"Blue Source - Wisconsin Northern Highlands Improved Forest Management Project","Reforestation","331706"
"Blue Creek","Reforestation","1188515"
"Rosendale Anaerobic Digester","Supply Chain","94701"
"Finite Carbon - Massachusetts Audubon Society IFM","Reforestation","689511"
"EOS ACR 285","Supply Chain","45663"
"Finite Carbon - KRP Timberlands IFM","Reforestation",NA
"Green Assets - BJT Avoided Conversion Project","Reforestation","441932"
"Camp Shelby Forest Carbon Project","Reforestation","31095"
"Blue Source- Red Hill West Improved Forest Management Project","Reforestation",NA
"Finite Carbon - Emory River Improved Forest Management Project","Reforestation",NA
"Blue Source-Conservation Forestry Elk Improved Forest Management Project","Reforestation",NA
"Congaree River","Reforestation","182667"
"Finite Carbon - Lakes Region Conservation Trust IFM","Reforestation","373932"
"Blue Source - ORM McCloud Improved Forest Management Project","Reforestation",NA
"Blue Source-Texarkana Improved Forest Management Project","Reforestation",NA
"Blue Source - Hancock McCloud Improved Forest Management Project","Reforestation",NA
"Blue Source-St. Croix Improved Forest Management Project","Reforestation",NA
"Blue Source-Gilchrist Improved Forest Management Project","Reforestation",NA
"Blue Source-Lafayette Improved Forest Management Project","Reforestation",NA
"White Mountain Apache Tribe Carbon Project (original II)","Reforestation",NA
"White Mountain Apache Tribe Carbon Project II","Reforestation","5622742"
"White Mountain Apache Tribe Carbon Project IV","Reforestation",NA
"White Mountain Apache Tribe Carbon Project V","Reforestation",NA
"The Audubon Borestone Mountain Carbon Project","Reforestation",NA
"Donner Property","Reforestation",NA
"The Bridgestone Chestnut Mountain Carbon Project","Reforestation",NA
"The Caulk Island Forest Carbon Project","Reforestation",NA
"EOS HFC 310","Supply Chain","8468"
"EOS ACR 311","Supply Chain","107264"
"EOS ACR 312","Supply Chain","140871"
"High Island Dairy","Supply Chain","156388"
"Wabashco Clean Sweep 8","Supply Chain","111977"
"EOS ACR 315","Supply Chain","86839"
"EOS ACR 316","Supply Chain","104897"
"Statz Bros. Home Farm Anaerobic Digester","Supply Chain","20122"
"Statz B Farm Anaerobic Digester","Supply Chain","35235"
"Finite Carbon - Sealaska Native Alaskan IFM","Reforestation","10936272"
"Baker Mine AMM","Supply Chain","2236"
"Wabashco Clean Sweep 9","Supply Chain","93298"
"Foam Blowing Agent Project 001","Supply Chain","13399"
"Kettle Butte Digester","Supply Chain","103049"
"Tradewater ODS 1","Supply Chain","116741"
"EOS ACR 351","Supply Chain","28562"
"EOS ACR 352","Supply Chain","68637"
"Cow Poo Digester","Supply Chain","7781"
"Tradewater ODS2","Supply Chain","103357"
"Greenwood Dairy Anaerobic Digester","Supply Chain","61150"
"EOS ACR 356","Supply Chain","110720"
"EOS ACR 357","Supply Chain","84131"
"EOS ACR 358","Supply Chain","60749"
"Tradewater ODS 3","Supply Chain","97813"
"Finite Carbon - Ahtna Native Alaskan IFM","Reforestation","13618537"
"Forest Carbon Partners - Port Graham Corporation Improved Forest Management Project","Reforestation","2041191"
"Whirlpool HFO Amana 362","Supply Chain","106024"
"Tradewater ODS 4","Supply Chain","91819"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA (HFO-1233zd(E)) 2014 and 2015","Supply Chain","5967"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA (HFO-1233zd(E)) 2015","Supply Chain","28770"
"Elk Creek Permit Area Abandoned Mine Project","Supply Chain","758910"
"Anew - Middlebury Forestry Project","Reforestation","138696"
"Foam Blowing Agent Project 002","Supply Chain","113546"
"Tradewater ODS 5","Supply Chain","121455"
"Blue Source - Great Mountain Forest Improved Forest Management Project","Reforestation","344036"
"EOS ACR 372","Supply Chain",NA
"Blue Source - Northwoods Improved Forest Management Project","Reforestation","411241"
"Anew - Shafer-Tuuk Forestry Project","Reforestation","271561"
"Anew - Hawk Mountain Forestry Project","Reforestation","221089"
"Anew - Massachusetts Tri-City Forestry Project","Reforestation","538247"
"Cappell Creek Improved Forest Management Project","Reforestation","327740"
"Lord Ellis Improved Forest Management Project","Reforestation","305839"
"Tradewater ODS 6","Supply Chain","120918"
"CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project","Supply Chain","70"
"Re-Refining of Used Transformer Oil","Supply Chain","175093"
"Tradewater ODS 7","Supply Chain","138972"
"Tradewater ODS 8","Supply Chain","138331"
"Anew - Hudson Farm Forestry Project","Reforestation","229664"
"Tradewater ODS 9","Supply Chain","129854"
"Corinth Abandoned Mine Methane Recovery Project","Supply Chain","1185666"
"Winston Creek Forest Carbon Project","Reforestation","781275"
"Clean Fuel Partners Dane County Biodigester","Supply Chain","47847"
"Majestic Crossing Dairy Digester","Supply Chain",NA
"Blue Source - Wilderness Lakes Improved Forest Management Project","Reforestation","142237"
"Hiawatha Club Carbon Project","Reforestation","48834"
"Finite Carbon - MWF Ned Lake IFM","Reforestation","836879"
"Finite Carbon - Cooper River IFM","Reforestation",NA
"Anew - Doe Mountain Forestry Project","Reforestation","618997"
"Perennial OSG-1 AMM Flare Project","Supply Chain",NA
"Tradewater ODS 10","Supply Chain","137262"
"Perennial PRS-1 AMM Flare Project","Supply Chain",NA
"Bluesource GCS Bear Canyon","Supply Chain","144163"
"Tradewater ODS 11","Supply Chain","118326"
"Finite Carbon - Lake Superior Timberlands IFM","Reforestation",NA
"BMMC1","Supply Chain","1153452"
"Castelanelli Bros Dairy Digester","Supply Chain","11295"
"Restoring Wetlands on California Department of Water Resources-Owned Areas of Twitchell and Sherman Islands","Reforestation","52405"
"Steuben County Bath Landfill GHG Offset Project","Supply Chain","272366"
"Finite Carbon - CIRI Native Alaskan IFM","Reforestation",NA
"Finite Carbon - Tyonek Native Alaskan IFM","Reforestation","1074205"
"Finite Carbon - Meriwether IFM","Reforestation","3262412"
"Bluesource - Baskahegan Improved Forest Management Project","Reforestation","911572"
"WMMC1","Supply Chain","37904"
"Tradewater ODS 12","Supply Chain","132126"
"Finite Carbon - Sealaska 2 Native Alaskan IFM","Reforestation","2153385"
"Wabassus DLLT IFM","Reforestation","90194"
"Forest Carbon Works Stewart Family Forest Project","Reforestation","23112"
"Albany Water Board - Improved Forest Management Project","Reforestation","184925"
"Bluesource - Goldbelt Improved Forest Management Project","Reforestation","394194"
"Tradewater ODS 13","Supply Chain","140145"
"The Nature Conservancy - Upper St. John Forest IFM Project","Reforestation","1550257"
"Finite Carbon - Huna Totem Native Alaskan IFM","Reforestation","938531"
"Tradewater ODS 14","Supply Chain","141087"
"Pocosin Lakes National Wildlife Refuge Clayton Blocks Pocosin Restoration","Reforestation",NA
