"project_name","scope","credits_issued"
"GS1247 VPA189 Southern Ethiopia Efficient Cook Stoves","Supply Chain","34261"
"Improved Cookstove Project In Uganda","Supply Chain","199274"
"60 MW Bandirma Wind Power Plant Project","Renewables","759645"
"Believe Green Safe Drinking Water – Ethiopia-1 – GS7442","Supply Chain",NA
"Carbon Emission Reduction Program through CCDB Improved Cook Stove (ICS) in Bangladesh","Supply Chain",NA
"Carbon Emission Reduction Program through CCDB Improved Cook Stove (ICS) in Bangladesh – VPA 1 – Patharghata and Morrelganj 1","Supply Chain","14550"
"GS5047 VPA33 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project I","Supply Chain","21824"
"GS5047 VPA34 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project II","Supply Chain","27269"
"Gaziantep Landfill Gas to Energy Project Turkey","Supply Chain","401947"
"GS5047 VPA35 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project III","Supply Chain","33245"
"GS5047 VPA36 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project IV","Supply Chain","27830"
"GS5047 VPA37 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project V","Supply Chain","16792"
"GS5047 VPA38 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project VI","Supply Chain","17668"
"GS5047 VPA39 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project VII","Supply Chain","18166"
"GS1247 VPA 190 Zambia Eastern Province Safe Water Project","Supply Chain","15093"
"GS1247 VPA 191 Zambia Eastern Province Safe Water Project","Supply Chain","12521"
"GS1247 VPA 192 Zambia Eastern Province Safe Water Project","Supply Chain","14456"
"GS1247 VPA 193 Zambia Eastern Province Safe Water Project","Supply Chain","17246"
"Metro Group Energy WWT Project (300392)","Supply Chain","65178"
"GS1247 VPA 194 Zambia Eastern Province Safe Water Project","Supply Chain","12956"
"GS1247 VPA 195 Zambia Eastern Province Safe Water Project","Supply Chain",NA
"GS1247 VPA 196 Zambia Eastern Province Safe Water Project","Supply Chain",NA
"GS1247 VPA 197 Zambia Eastern Province Safe Water Project","Supply Chain",NA
"Recycling Solutions in Nepal","Supply Chain",NA
"GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 014","Supply Chain","22902"
"Integrated Domestic Energy Systems (IDES) for Clean Energy access and clean cooking in rural households in India","Supply Chain","187729"
"Solar DC programme in off-grid regions in India","Renewables","113298"
"300 MW Wind Energy Project by Green Infra Wind Energy Limited","Renewables","2670780"
"50.6 MW Wind Energy Project by Powerica Limited","Renewables","487008"
"GS1247 VPA 198 Improved Kitchen Regimes Manica Province Safe Water (Mozambique)","Supply Chain","25556"
"GS1247 VPA 199 Improved Kitchen Regimes Manica Province Safe Water (Mozambique)","Supply Chain","27288"
"GS1247 VPA 200 Improved Kitchen Regimes Manica Province Safe Water (Mozambique)","Supply Chain","25644"
"GS1247 VPA 201 Improved Kitchen Regimes Manica Province Safe Water (Mozambique)","Supply Chain","23184"
"GS1247 VPA 202 Improved Kitchen Regimes Manica Province Safe Water (Mozambique)","Supply Chain","26155"
"GS1247 VPA 203 Sierra Leone Safe Water","Supply Chain","24486"
"GS1247 VPA 204 Sierra Leone Safe Water","Supply Chain","25143"
"GS1247 VPA 205 Sierra Leone Safe Water","Supply Chain","24166"
"GS1247 VPA 206 Sierra Leone Safe Water","Supply Chain","22562"
"GS1247 VPA 207 Sierra Leone Safe Water","Supply Chain","23473"
"Dissemination of improved stoves (Mogogo) in the Eritrean highlands","Supply Chain","25701"
"GS1247 VPA 208 Sierra Leone Safe Water","Supply Chain","22100"
"GS1247 VPA 209 Sierra Leone Safe Water","Supply Chain","21293"
"GS1247 VPA 210 Sierra Leone Safe Water","Supply Chain","23446"
"GS1247 VPA 211 Sierra Leone Safe Water","Supply Chain","22815"
"GS1247 VPA 212 Sierra Leone Safe Water","Supply Chain","22918"
"GS1247 VPA 213 Manicaland Safe Water","Supply Chain",NA
"GS1247 VPA 214 Manicaland Safe Water","Supply Chain",NA
"GS1247 VPA 215 Manicaland Safe Water","Supply Chain",NA
"GS1247 VPA 216 Manicaland Safe Water","Supply Chain",NA
"GS1247 VPA 217 Manicaland Safe Water","Supply Chain",NA
"Daðdelen Weir and Hydro Power Plant","Renewables",NA
"GS1247 VPA 218 Manicaland Safe Water","Supply Chain",NA
"ORLEMIS WPP","Renewables","112859"
"2.1 MW Wind Project of Colourtex Industries Ltd. at Kutch district in Gujarat state India","Renewables",NA
"Erzurum Aziziye Solar Power Plant","Renewables","62935"
"Hifadhi-Livelihoods Improved Cookstove Project in Tharaka Nithi County Kenya","Supply Chain","455555"
"Believe Green Safe Drinking Water – Spring Health-2","Supply Chain","18828"
"SERTAVUL WPP","Renewables",NA
"CPA-KE-001 KIBERA","Supply Chain","51227"
"GS5047 VPA41 African Improved Cookstoves and Clean Water Programme: Lusaka Clean Cooking Project II","Supply Chain",NA
"Hebei Yingxin Glass Group Co. Ltd. Glass Furnace Flue Gas Waste Heat To Energy Project (300502)","Supply Chain","585390"
"GS5047 VPA42 African Improved Cookstoves and Clean Water Programme: Lusaka Clean Cooking Project III","Supply Chain",NA
"GS5047 VPA40 African Improved Cookstoves and Clean Water Programme: Lusaka Clean Cooking Project I","Supply Chain",NA
"6.5 MW cogeneration project in Akbarpur Punjab","Renewables",NA
"CPA-KE-008 KISUMU","Supply Chain","37959"
"CPA-KE-009 KENYA","Supply Chain","133785"
"Orb Energy Solar Program in India - VPA04","Renewables","70013"
"Orb Energy Solar Program in India - VPA05","Renewables","60436"
"Nepal Biogas Support Program-CPA 8: 19445 digesters","Supply Chain","184740"
"Nepal Biogas Support Program-CPA 9: 17304 digesters","Supply Chain","92723"
"National Biodigester Programme Cambodia","Supply Chain","1021507"
"Household biogas plants installed in rural areas of Madhya Pradesh  India","Supply Chain","187392"
"GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 015 by Soneva Foundation","Supply Chain","18759"
"VPA 16 Kilifi Borehole Rehabilitation Project","Supply Chain","19026"
"GS1366 VPA 17 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 18 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 19 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 20 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 21 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 22 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 23 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 24 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 25 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 26 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"GS5658 VPA 11: Promoting energy efficiency & clean cooking in Pemba","Supply Chain","18805"
"BIM Solar Farm","Renewables","1814182"
"BMT Solar Farm","Renewables","133408"
"Izmir Odemis Biogas Power Plant","Supply Chain",NA
"IBB Biomethanation Plant Project","Supply Chain",NA
"IBB Waste Incineration and Power Generation Plant Project","Renewables",NA
"Mersin Wind Farm Project","Renewables","1000147"
"PoA for DURABRIC Bricks Project by 14Trees","Supply Chain",NA
"Durabric Bricks Project by 14Trees in Malawi: VPA (01)","Supply Chain","18210"
"200 MW solar power project in India by SB Energy.","Renewables","1462947"
"100 MW Solar Power plant in Maharashtra","Renewables","780762"
"250 MW Solar Power Plant in Pavagada Solar Park in Karnataka","Renewables","1614600"
"10MW Solar Power Project (EnvironmentFirst-213)","Renewables","43140"
"Agrahara Mini Hydel Scheme – I & II","Renewables",NA
"Energising India using Solar Energy","Renewables","1529039"
"GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 016","Supply Chain","21499"
"GS5047 VPA44 African Improved Cookstoves and Clean Water Programme: Albertine Rift Wildlife Corridor Cook Stove Project I","Supply Chain",NA
"GS5047 VPA45 African Improved Cookstoves and Clean Water Programme: Albertine Rift Wildlife Corridor Cook Stove Project II","Supply Chain",NA
"GS5047 VPA46 African Improved Cookstoves and Clean Water Programme: Albertine Rift Wildlife Corridor Cook Stove Project II","Supply Chain",NA
"GS5047 VPA43 African Improved Cookstoves and Clean Water Programme: Lusaka Clean Cooking Project IV","Supply Chain",NA
"Clean Cooking Solutions for Rural Nepal","Supply Chain","118008"
"22 MW Solar Power Project by HZL at Rampura agucha Mine  Rajasthan","Renewables",NA
"Cerrado Efficient Cookstoves","Supply Chain",NA
"Bundled Solar Project 1 by Aditya Birla Group of Companies","Renewables","298871"
"Biomass based power plant in Mahendargarh Haryana","Renewables","58030"
"Bundled Solar Project 2 by Aditya Birla Group of Companies","Renewables","112583"
"Egemen 19.92 MW Run-off-river HEPP","Renewables",NA
"Chaiyaphum Wind Farm Power Project","Renewables","139728"
"AMI Khanh Hoa Solar Project","Renewables","209421"
"Dren Wind Power Project","Renewables",NA
"42 MWp Bundled Solar Photovoltaic Power project in Indonesia","Renewables","85939"
"Methane Reduction in Irrigated Rice Production Thailand","Supply Chain",NA
"Solar PV power project by Roha Dyechem Pvt. Ltd. (EKIESL.CDM.Aug-11-02)","Renewables",NA
"GS5658 VPA 12: Improved Cookstoves for Environmental Conservation in Southern Ethiopia","Supply Chain","28120"
"GS7591 VPA 1 Western Kenya Borehole Rehabilitation Project","Supply Chain","111503"
"GS7591 VPA 2 Rift Valley Safe Water Project","Supply Chain",NA
"GS7591 VPA 3 Central Kenya Borehole Rehabilitation Project","Supply Chain",NA
"Efficient Fuel Wood Cooking Stoves Project in Foothills and Plains of Central Region of Nepal","Supply Chain","39672"
"GS7591 VPA 4 Central Kenya Borehole Rehabilitation Project","Supply Chain",NA
"Gianyar Waste Recovery Project","Supply Chain","16021"
"GS1366 VPA 27 Kilifi Borehole Rehabilitation Project","Supply Chain",NA
"Distribution of smart water bottles to reduce plastic waste","Supply Chain",NA
"GS7591 VPA 5 Northern Vietnam Improved Cookstove Project","Supply Chain",NA
"GS7591 VPA 6 Northern Vietnam Improved Cookstove Project","Supply Chain",NA
"GS5658 VPA 14: Water is Life Madagascar","Supply Chain","35111"
"GS5658 VPA 13: Water is Life Madagascar","Supply Chain","23886"
"4.80 MW renewable energy project by Aleo Manali Hydropower Pvt. Ltd.","Renewables",NA
"PoA for the Reduction of Emission from Non-Renewable Fuel from Cooking at Household Level","Supply Chain",NA
"Spouts-4 by Believegreen LLC","Supply Chain","19515"
"VPA - Spouts-5 by Believe Green LLC","Supply Chain","19515"
"120 MW Solar PV Plant by Juniper Green Sigma Private Ltd. in Gujarat","Renewables","851071"
"Toliara PV Plant","Renewables","6626"
"SolarAce1 Energy Project","Renewables","164721"
"Household biogas plants in rural parts of North East India","Supply Chain","135942"
"The Garner Sustainable Biomass and Renewable Energy Programme","Supply Chain",NA
"Garner Mozambique - BioEthanol Cookstoves Project CPA1","Supply Chain",NA
"NorthWind Bangui Bay Project","Renewables",NA
"GS1247 VPA 224 - The Gambia Safe Water","Supply Chain","14375"
"GS1247 VPA 225 The Gambia Safe Water","Supply Chain","14901"
"GS1247 VPA 226 The Gambia Safe Water","Supply Chain","13534"
"GS1247 VPA 227 The Gambia Safe Water","Supply Chain","12158"
"GS1247 VPA 228 The Gambia Safe Water","Supply Chain","13132"
"GS1247 VPA 229 The Gambia Safe Water","Supply Chain","13645"
"GS1247 VPA 230 The Gambia Safe Water","Supply Chain",NA
"Household and commercial biogas plants in Kenya","Supply Chain","69726"
"Wind Power Project in Rajasthan by RSPL Limited","Renewables",NA
"9.6 MW Wind Energy Project at Jamvadi & Navagam & Kalavad Jamnagar Gujarat India of Rohit Surfactants Pvt. Ltd.","Renewables",NA
"ROHIT SURFACTANTS PVT.LTD- 10.5 MW Wind Project Tamil Nadu","Renewables",NA
"International Programme for Safe Water Access and Efficient Cookstoves","Supply Chain",NA
"GS7591 VPA 7 Northern Uganda Safe Water Project","Supply Chain","184728"
"GS7591 VPA 8 Northern Uganda Safe Water Project","Supply Chain","152509"
"GS7591 VPA 9 Northern Uganda Safe Water Project","Supply Chain","104111"
"GS7591 VPA 10 Northern Uganda Safe Water Project","Supply Chain","38096"
"GS7591 VPA 11 Northern Uganda Safe Water Project","Supply Chain","22117"
"GS7591 VPA 12 Northern Uganda Safe Water Project","Supply Chain",NA
"GS7591 VPA 13 Northern Uganda Safe Water Project","Supply Chain",NA
"GS7591 VPA 14 Northern Uganda Safe Water Project","Supply Chain",NA
"GS7591 VPA 15 Northern Uganda Safe Water Project","Supply Chain",NA
"GS7591 VPA 16 Northern Uganda Safe Water Project","Supply Chain",NA
"Solar Water Heater Program in India- ""CPA-7""","Renewables","40896"
"0.85 MW x 2 Wind Turbine Generator project","Renewables",NA
"Houji Solar Cooker Project","Supply Chain","424614"
"Shifosi Solar Cooker Project","Supply Chain","414991"
"Zaoyuan Solar Cooker Project","Supply Chain","422695"
"San Pablo del Lago reforestation project","Reforestation",NA
"EcoCar Solaire","Supply Chain",NA
"Waste Management PoA in India","Supply Chain",NA
"Waste Management PoA in India VPA 1","Supply Chain","229"
"Waste Management PoA in India VPA 2","Supply Chain",NA
"Waste Management PoA in India VPA 3","Supply Chain",NA
"Waste Management PoA in India VPA 4","Supply Chain",NA
"Wind based power project in Maharashtra by Siddhayu Ayurvedic Research Foundation Pvt. Ltd.","Renewables","45213"
"MRMPL Wind Power Project.","Renewables","35268"
"Solar PV Power project in Barmer Rajasthan.","Renewables","276458"
"Renewable Power Project by the Kiran Group (EKIESL- CDM. September 15-02)","Renewables",NA
"50.6 MW Wind Power Project at Umrali Gujarat by Powerica Limited","Renewables","319392"
"50.6 MW Wind Power Project in Gujarat by Powerica Limited","Renewables",NA
"Caypinar Wind Farm Project Turkey","Renewables",NA
"Rural electrification program Madagascar","Renewables","350"
"CANAKKALE LANDFILL GAS POWER PLANT","Supply Chain",NA
"200 MW Solar PV Plant by Mahindra Susten in Rajasthan","Renewables",NA
"250 MW Solar PV Plant by Mega Suryaurja in Rajasthan","Renewables",NA
"150 MW Solar PV Plant by Juniper Green Field Pvt. Ltd. in Maharashtra","Renewables","414053"
"Wind farm at Lalpur Gujarat","Renewables","329164"
"Wind power project in Madhya Pradesh (2) India","Renewables","270342"
"Wind energy project by KWEPL - 1","Renewables","163511"
"Wind project by LWEPL-2","Renewables","103497"
"Wind power project in Gujarat by Kaze Energy Limited","Renewables","301937"
"Wind power project in Ratlam MP","Renewables","393122"
"Solar Thermal Power project at Kutcch District in Gujarat","Renewables",NA
"CANDARLI WPP","Renewables",NA
"OMERLI WPP","Renewables",NA
"GS7591 VPA 17 Central Mozambique Safe Water Programme","Supply Chain","201285"
"GS7591 VPA 18 Central Mozambique Safe Water Programme","Supply Chain","200845"
"GS7591 VPA 19 Central Mozambique Safe Water Programme","Supply Chain","190783"
"Bolu Landfill Gas to Energy Project Turkey","Supply Chain","86339"
"GS7591 VPA 20 Central Mozambique Safe Water Programme","Supply Chain","173298"
"GS7591 VPA 21 Central Mozambique Safe Water Programme","Supply Chain","174804"
"GS7591 VPA 22 Central Mozambique Safe Water Programme","Supply Chain","165552"
"GS7591 VPA 23 Central Mozambique Safe Water Programme","Supply Chain","154753"
"GS7591 VPA 24 Central Mozambique Safe Water Programme","Supply Chain","129075"
"GS7591 VPA 25 Central Mozambique Safe Water Programme","Supply Chain","77032"
"GS7591 VPA 26 Central Mozambique Safe Water Programme","Supply Chain","72728"
"GS7591 VPA 27 Central Mozambique Safe Water Programme","Supply Chain","62034"
"GS7591 VPA 28 Central Mozambique Safe Water Programme","Supply Chain","49213"
"GS7591 VPA 29 Central Mozambique Safe Water Programme","Supply Chain","36402"
"BK Energia Itacoatiara Project","Renewables","472891"
"GS7591 VPA 30 Central Mozambique Safe Water Programme","Supply Chain","24601"
"GS7591 VPA 31 Central Mozambique Safe Water Programme","Supply Chain","5362"
"Tayakadın Wind Power Project Turkey","Renewables",NA
"7 MW Bundled Hydro power project at Himachal Pradesh of Raajratna Energy Holdings Pvt. Ltd","Renewables",NA
"250 MW Solar PV Plant by Mahindra Renewables in Rajasthan","Renewables",NA
"Greenhouse Gas Emission Reductions Through Thermal Solar Power Technology - Rajasthan Sun Technique Energy Pvt. Ltd","Renewables","95845"
"Jeori Hydro-Electric Project","Renewables","49701"
"Wind energy project by KWEPL - 3","Renewables",NA
"GS1247 VPA 219 Central and Western Uganda Safe Water Project","Supply Chain","16114"
"GS1247 VPA 220 Central and Western Uganda Safe Water Project","Supply Chain","12680"
"GS1247 VPA 221 Central and Western Uganda Safe Water Project","Supply Chain",NA
"GS1247 VPA 222 Central and Western Uganda Safe Water Project","Supply Chain",NA
"GS1247 VPA 223 Central and Western Uganda Safe Water Project","Supply Chain",NA
"Greenhouse Gas Emission Reductions Through Wind Energy Technology - Reliance Clean Power Pvt. Ltd.","Renewables",NA
"Greenhouse Gas Emission Reductions Through Photovoltaic Technology - Dahanu Solar Power Pvt. Ltd.","Renewables",NA
"300 MW Wind Power Project by SITAC Kabini in Gujarat","Renewables",NA
"Wind Power Project in Tamil Nadu India","Renewables","17512"
"Biogas CDM Project of Bagepalli Coolie Sangha","Supply Chain","266496"
"10MW biomass power plant at Sangli by Sinewave Power","Renewables",NA
"Biomass based cogeneration project at Bhagwati Vintrade Ramgarh Jharkhand India","Renewables",NA
"Baner Sangam small hydro power project","Renewables",NA
"Emission free electricity generation at Harihar Karnataka","Renewables",NA
"Wind Power Project by RKLPL (EKIESL-CDM.September -11-01)","Renewables",NA
"GREEN ENERGY TO GRID at Dhule Maharashtra","Renewables",NA
"Wind Energy Project at Jaisalmer district Rajasthan by Enn Enn Corp Limited","Renewables","7924"
"GS7591 VPA 32 Zambian Central Province Safe Water","Supply Chain","156017"
"GS7591 VPA 33 Zambian Central Province Safe Water","Supply Chain","128991"
"GS7591 VPA 34 Zambian Central Province Safe Water","Supply Chain","91877"
"Stoves for Life: Energy Efficient Cook Stoves Project in Kakamega Kenya","Supply Chain","1391283"
"GS7591 VPA 35 Zambian Central Province Safe Water","Supply Chain","36453"
"GS7591 VPA 36 Zambian Central Province Safe Water","Supply Chain","15422"
"VPA 28 Coastal Kenya Borehole Rehabilitation Project","Supply Chain","36864"
"GS1366 VPA 29 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 30 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 31 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 32 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 33 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 34 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 35 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 36 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 37 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 38 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 39 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 40 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 41 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 42 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 43 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 44 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 45 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 46 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 47 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 48 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 49 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 50 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 51 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"GS1366 VPA 52 Coastal Kenya Borehole Rehabilitation Project","Supply Chain",NA
"250 MW Solar Power project by SB Energy","Renewables",NA
"200 MW Solar Power project by SB Energy at Pavagada Karnataka","Renewables",NA
"600 MW Solar PV Plant by SB Energy in Rajasthan","Renewables",NA
"Pitak Palm Wastewater Treatment and Biogas Utilization Project (300335)_pre-CDM VER","Supply Chain",NA
"Hybrid (Solar+Wind) Power project by SBE Renewables Rajasthan","Renewables",NA
"300 MW Solar PV Plant by SBSR Power Cleantech in Rajasthan","Renewables",NA
"250 MW Solar Power project at Kadapa by SB Energy","Renewables",NA
"Wind Power Project by SBESS Wind in Madhya Pradesh","Renewables",NA
"180 MW Renewable Energy Project by Greenko Group","Renewables","299414"
"330 MW Solar Power project in Rajasthan by SB Energy","Renewables",NA
"300 MW Solar PV Plant at Bhadla Rajasthan","Renewables","1920254"
"250 MW Solar PV Plant at Bhainsada Rajasthan","Renewables","324518"
"Chantaburi Starch Wastewater Treatment and Biogas Utilization Project (300085)_pre-CDM VER","Supply Chain",NA
"GS5304 MKOPA Solar Lighting Programme of Activities - Kenya VPA 5 by Natural Capital Partners","Renewables",NA
"GS5304 MKOPA Solar Lighting Programme of Activities - Kenya VPA 6 by Natural Capital Partners by Natural Capital Partners","Renewables",NA
"Kartal Wind Power Project","Renewables","124496"
"Kuyulukoyak WIND POWER PLANT","Renewables","40411"
"ÇAMINBAŞI WPP","Renewables",NA
"Halilbeyli Biogas Plant","Supply Chain",NA
"Parque de los Llanos umbrella project","Renewables","24982"
"IBB Seymen Landfill Gas to Energy Project","Supply Chain",NA
"West Bakr Wind Farm Project","Renewables","983667"
"Saraff Biogas Wastewater Treatment and Biogas Utilisation project (300177)_pre-CDM VER","Supply Chain",NA
"Akyel-1 WPP","Renewables",NA
"Gazi-9 WPP","Renewables",NA
"Güney-1 WPP","Renewables",NA
"Akyel-2 WPP","Renewables",NA
"West Huaybong 2 wind farm project","Renewables","158840"
"300 MW Wind Power Project in Gujarat by Alfanar Power","Renewables","1125127"
"West Huaybong 3 wind farm project","Renewables","191319"
"Bundled Solar project by Amplus Solar","Renewables",NA
"Bundled Solar project by Atria Power","Renewables",NA
"75 MW Mirzapur Solar Power Project","Renewables",NA
"CYY Biopower Wastewater treatment plant including biogas reuse for thermal oil replacement and electricity generation Project Thailand (300059)_pre-CDM VER","Supply Chain","14657"
"96.8 MW Wind Power Project in Amreli Gujarat","Renewables",NA
"75 MW Neo Solar Power Project","Renewables",NA
"300 MW Wind Power Project in Gujarat by Netra Wind Private Limited","Renewables",NA
"Tuppadahalli Wind Energy Project","Renewables","323794"
"Wind Energy Project in Gujarat by Enn Enn Corp Limited","Renewables",NA
"13.3 MW grid connected bundled wind electricity generation project at Rajasthan and Karnataka India","Renewables",NA
"13.75 MW wind power project at Bellary & Davangere district in the state Karnataka India","Renewables",NA
"30 MW wind power project at Surajbari Gujarat in India","Renewables",NA
"Clean Electricity Generation by Solar Power Project in Rajasthan","Renewables","373076"
"250 MW Solar Power Project by Clean Solar Power Jodhpur Pvt. Ltd","Renewables",NA
"27 MWp Solar PV Project by MH Technique Solaire India Private Limited","Renewables","61482"
"10.4 MW wind power project at Tiwari site of Jodhpur district in the state of Rajasthan India","Renewables",NA
"Bangna Starch Wastewater Treatment and Biogas Utilization Project (300084)_pre-CDM VER","Supply Chain","22591"
"Clean Cooking Initiative","Supply Chain",NA
"ARISU SOLAR POWER PLANT","Renewables",NA
"Improved cook stoves and sustainable charcoal initiative","Supply Chain",NA
"Blue Fire Bio wastewater treatment and biogas utilization project (300147)_pre-CDM VER","Supply Chain","19332"
"Tire Biogas Power Plant","Renewables",NA
"ECOLIFE Conservation Patsari Improved Cookstove project Monarch Butterfly Biosphere Reserve Mexico","Supply Chain","63247"
"Namene Solar Light Company: Replacing Kerosene lights and paraffin candles by solar lights in Namibia","Renewables","11664"
"37.95 MW Wind power project in Bharmasagar Karnataka by BPEIPL","Renewables",NA
"24 MW wind power project in Tamil Nadu India","Renewables",NA
"23.1 MW Wind power project in Telagi Karnataka","Renewables",NA
"Wind power project in Maharashtra by TVS Energy Limited","Renewables",NA
"Wind energy project in Theni Tamil Nadu","Renewables",NA
"Wind power project by TVS Energy Limited in Theni Tamil Nadu","Renewables",NA
"10 MW Solar Photovoltaic Power Plant in Rajkot Gujarat (India)","Renewables",NA
"5 MW Solar Photovoltaic based Power Generation in Jodhpur Rajasthan","Renewables",NA
"Wind power project in Tirunelveli Tamil Nadu by TVS Energy Limited","Renewables",NA
"Bundled wind power project in the state of Gujarat","Renewables",NA
"15 MW wind power project by Green Infra Wind Energy Assets Ltd","Renewables",NA
"24 MW Wind Energy based Power Generation In Theni Tamil Nadu","Renewables",NA
"50 MW Solar PV Project by Sembcorp Green Infra Limited","Renewables",NA
"Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited (SECI-1)","Renewables",NA
"ANTALYA Solar Power Plant","Renewables",NA
"Saros Wind Power Plant","Renewables","592359"
"GS688 SUEN East Turkey Hydro PoA- Cevher I 9.295 MW HEPP in Turkey","Renewables",NA
"GS688 SUEN East Turkey Hydro PoA- Cevher II 7.084 MW HEPP in Turkey","Renewables",NA
"Guangzhou Zhujiang Beer Methane Recovery Project (300068)_pre-CDM VER","Supply Chain","17656"
"Wanzhou Kehua Cement WHR to 13.5 MW electricity project in Wanzhou District (300087)_pre-CDM VER","Supply Chain",NA
"Ekincik Weir and Hydroelectric Power Plant","Renewables",NA
"Metro Group Energy WWT Project (300392)_pre-CDM VER","Supply Chain",NA
"GS790_Sustainable Small Hydropower Programme of Activities (PoA) in Indonesia (300218)","Renewables",NA
"Clean Energy One Biomass Power Plant Project (300548)","Renewables",NA
"Wastewater Treatment and Methane Recovery at Green Field Joint Stock Company (300652)","Supply Chain",NA
"GS790_Sustainable Small Hydropower Programme of Activities (PoA) - CPA Manggani Hydroelectric Project Pre-CDM VER","Renewables",NA
"Wastewater Treatment and Methane Recovery at Green Field Joint Stock Company (300652)_pre-CDm VER","Supply Chain",NA
"Clean Energy One Biomass Power Plant Project (300548)_pre-CDM VER","Renewables",NA
"Ayranly  Hydroelectric Power Plant","Renewables",NA
"DINC HEPP","Renewables",NA
"Solar Cookstoves Project in Bolivia","Supply Chain","21344"
"Solar Cookstoves Project in Peru","Supply Chain","26278"
"Wind Park Vader Piet Aruba","Renewables","1075844"
"Arakalagudu Biodigester Project II","Supply Chain","40236"
"GS790_Sustainable Small Hydropower PoA - 1.1 MW Manggani Mini Hydroelectric Project West Sumatera Indonesia (300469)","Renewables",NA
"Shimba Hills Improved Cook Stoves","Supply Chain","233416"
"Likoni and Shimoni Improved Cook Stove Project","Supply Chain","10284"
"Biomass based power project in Punjab India","Renewables",NA
"Shimoni Improved Cook Stoves","Supply Chain","4119"
"Amayo Phase II Wind Power Project","Renewables","580138"
"Hasanlar HEPP","Renewables",NA
"Efficient Cook Stoves in the Bahian Reconcavo region","Supply Chain","54769"
"GS834 Improved Cooking Stoves for Nigeria Programme of Activities","Supply Chain",NA
"Hunan Guanbaodu-Liangjiangkou Small-scale Hydropower Bundle Project","Renewables","219666"
"Amayo 40 MW Wind Power Project-Nicaragua - Pre CDM VERs","Renewables","11429"
"La La Hydropower Project Vietnam","Renewables","7884"
"DAKFOCAM Wastewater project","Supply Chain","23803"
"Kisumu Improved Cook Stoves","Supply Chain","168776"
"Zeytineli Wind Power Project Turkey","Renewables",NA
